151k, train_mse: 8.963637e-05, test1_mse: 9.1828144e-05, test2_mse: 5.2435877e-05
152k, train_mse: 8.55387e-05, test1_mse: 8.8004825e-05, test2_mse: 5.3910884e-05
153k, train_mse: 0.00010916761, test1_mse: 0.00011164574, test2_mse: 7.34579e-05
154k, train_mse: 8.754263e-05, test1_mse: 9.030651e-05, test2_mse: 5.2711668e-05
155k, train_mse: 8.5661144e-05, test1_mse: 8.881313e-05, test2_mse: 5.4353055e-05
156k, train_mse: 8.7515116e-05, test1_mse: 8.8684574e-05, test2_mse: 5.0707255e-05
157k, train_mse: 9.572461e-05, test1_mse: 9.9089906e-05, test2_mse: 5.6815697e-05
158k, train_mse: 9.2873284e-05, test1_mse: 9.629794e-05, test2_mse: 5.7028858e-05
159k, train_mse: 8.597632e-05, test1_mse: 8.976337e-05, test2_mse: 5.6361605e-05
160k, train_mse: 9.3307935e-05, test1_mse: 9.591611e-05, test2_mse: 5.815039e-05
161k, train_mse: 0.00010697671, test1_mse: 0.000109603774, test2_mse: 7.317045e-05
162k, train_mse: 8.835435e-05, test1_mse: 9.143116e-05, test2_mse: 5.3454234e-05
163k, train_mse: 0.00012319729, test1_mse: 0.000126699, test2_mse: 7.339695e-05
164k, train_mse: 9.098071e-05, test1_mse: 9.2093906e-05, test2_mse: 5.6091612e-05
165k, train_mse: 8.440743e-05, test1_mse: 8.6556014e-05, test2_mse: 5.0672923e-05
166k, train_mse: 8.6848275e-05, test1_mse: 8.9865294e-05, test2_mse: 5.26031e-05
167k, train_mse: 8.569142e-05, test1_mse: 8.8699344e-05, test2_mse: 5.499302e-05
168k, train_mse: 8.747019e-05, test1_mse: 9.0798785e-05, test2_mse: 5.237177e-05
169k, train_mse: 9.607962e-05, test1_mse: 9.703749e-05, test2_mse: 6.0753526e-05
170k, train_mse: 8.778182e-05, test1_mse: 8.897768e-05, test2_mse: 5.279957e-05
171k, train_mse: 8.979255e-05, test1_mse: 9.0121466e-05, test2_mse: 5.8860904e-05
172k, train_mse: 8.99863e-05, test1_mse: 9.310261e-05, test2_mse: 5.2906787e-05
173k, train_mse: 8.9175854e-05, test1_mse: 9.229328e-05, test2_mse: 5.1740313e-05
174k, train_mse: 8.595671e-05, test1_mse: 8.817295e-05, test2_mse: 5.186142e-05
175k, train_mse: 9.6508295e-05, test1_mse: 9.950749e-05, test2_mse: 5.887755e-05
176k, train_mse: 8.3155195e-05, test1_mse: 8.485792e-05, test2_mse: 5.2058265e-05
177k, train_mse: 8.582098e-05, test1_mse: 8.661244e-05, test2_mse: 5.2418774e-05
178k, train_mse: 8.182111e-05, test1_mse: 8.4128755e-05, test2_mse: 4.865315e-05
179k, train_mse: 8.74813e-05, test1_mse: 9.058268e-05, test2_mse: 5.3605083e-05
180k, train_mse: 8.824894e-05, test1_mse: 9.0092464e-05, test2_mse: 5.143576e-05
181k, train_mse: 9.828522e-05, test1_mse: 0.0001021291, test2_mse: 5.9710936e-05
182k, train_mse: 8.308003e-05, test1_mse: 8.459018e-05, test2_mse: 5.0848335e-05
183k, train_mse: 9.187975e-05, test1_mse: 9.2702314e-05, test2_mse: 5.376013e-05
184k, train_mse: 8.449862e-05, test1_mse: 8.752171e-05, test2_mse: 4.873219e-05
185k, train_mse: 8.2562736e-05, test1_mse: 8.537676e-05, test2_mse: 4.9403814e-05
186k, train_mse: 9.405832e-05, test1_mse: 9.749227e-05, test2_mse: 5.7800182e-05
187k, train_mse: 8.585644e-05, test1_mse: 8.7885484e-05, test2_mse: 5.098687e-05
188k, train_mse: 8.71114e-05, test1_mse: 8.942667e-05, test2_mse: 5.5313638e-05
189k, train_mse: 8.761527e-05, test1_mse: 9.1115675e-05, test2_mse: 5.0835817e-05
190k, train_mse: 9.408962e-05, test1_mse: 9.8229444e-05, test2_mse: 5.722944e-05
191k, train_mse: 8.518746e-05, test1_mse: 8.737554e-05, test2_mse: 5.081993e-05
192k, train_mse: 8.395092e-05, test1_mse: 8.606051e-05, test2_mse: 5.091307e-05
193k, train_mse: 8.727897e-05, test1_mse: 8.905252e-05, test2_mse: 5.566246e-05
194k, train_mse: 8.814277e-05, test1_mse: 9.109974e-05, test2_mse: 5.70512e-05
195k, train_mse: 8.569344e-05, test1_mse: 8.760982e-05, test2_mse: 5.4320033e-05
196k, train_mse: 8.17436e-05, test1_mse: 8.374501e-05, test2_mse: 4.85783e-05
197k, train_mse: 0.00010060034, test1_mse: 0.00010403434, test2_mse: 6.445414e-05
198k, train_mse: 8.023745e-05, test1_mse: 8.240176e-05, test2_mse: 4.582156e-05
199k, train_mse: 8.22127e-05, test1_mse: 8.423827e-05, test2_mse: 5.2235362e-05
200k, train_mse: 8.0963735e-05, test1_mse: 8.364964e-05, test2_mse: 4.7296013e-05
201k, train_mse: 8.51327e-05, test1_mse: 8.783739e-05, test2_mse: 5.055337e-05
202k, train_mse: 8.455417e-05, test1_mse: 8.989566e-05, test2_mse: 5.2045245e-05
203k, train_mse: 7.977525e-05, test1_mse: 8.327069e-05, test2_mse: 4.7892307e-05
204k, train_mse: 9.269019e-05, test1_mse: 9.5325966e-05, test2_mse: 5.8148256e-05
205k, train_mse: 8.7186454e-05, test1_mse: 9.039147e-05, test2_mse: 5.5708257e-05
206k, train_mse: 8.171387e-05, test1_mse: 8.528981e-05, test2_mse: 4.9574133e-05
207k, train_mse: 8.518665e-05, test1_mse: 8.887439e-05, test2_mse: 5.0407474e-05
208k, train_mse: 9.305433e-05, test1_mse: 9.401181e-05, test2_mse: 5.415495e-05
209k, train_mse: 8.760224e-05, test1_mse: 9.022386e-05, test2_mse: 4.9975293e-05
210k, train_mse: 8.6156164e-05, test1_mse: 8.8625085e-05, test2_mse: 5.226567e-05
211k, train_mse: 8.946513e-05, test1_mse: 9.084101e-05, test2_mse: 5.0651637e-05
212k, train_mse: 8.640518e-05, test1_mse: 8.821089e-05, test2_mse: 5.500896e-05
213k, train_mse: 8.250949e-05, test1_mse: 8.583131e-05, test2_mse: 5.1537772e-05
214k, train_mse: 8.5392254e-05, test1_mse: 8.67594e-05, test2_mse: 4.749642e-05
215k, train_mse: 9.542083e-05, test1_mse: 9.852177e-05, test2_mse: 6.614294e-05
216k, train_mse: 8.638912e-05, test1_mse: 8.92937e-05, test2_mse: 5.615487e-05
217k, train_mse: 8.325834e-05, test1_mse: 8.4549916e-05, test2_mse: 4.9209986e-05
218k, train_mse: 7.8798876e-05, test1_mse: 8.103056e-05, test2_mse: 4.5831828e-05
219k, train_mse: 7.915008e-05, test1_mse: 8.137107e-05, test2_mse: 4.581133e-05
220k, train_mse: 9.06006e-05, test1_mse: 9.197074e-05, test2_mse: 5.3468535e-05
221k, train_mse: 8.561263e-05, test1_mse: 8.7552056e-05, test2_mse: 5.301429e-05
222k, train_mse: 8.183489e-05, test1_mse: 8.494378e-05, test2_mse: 4.7603182e-05
223k, train_mse: 8.146943e-05, test1_mse: 8.390061e-05, test2_mse: 5.116496e-05
224k, train_mse: 8.62119e-05, test1_mse: 8.8224944e-05, test2_mse: 5.310294e-05
225k, train_mse: 9.895574e-05, test1_mse: 0.00010264839, test2_mse: 5.9243073e-05
226k, train_mse: 8.314419e-05, test1_mse: 8.378294e-05, test2_mse: 5.013407e-05
227k, train_mse: 7.9759724e-05, test1_mse: 8.307893e-05, test2_mse: 4.6585075e-05
